Model,Accuracy,Balanced Accuracy,Macro-F1,Recall (2+),PR-AUC (2+),Top-Decile Lift
GB,0.6890243902439024,0.5903971177303404,0.3905694941442637,0.6025641025641025,0.15613644149875638,6.153846153846154
CatBoost,0.7196864111498258,0.5805794876816552,0.40915920242165527,0.5256410256410257,0.15528222528921048,6.410256410256411
HGB,0.7238675958188153,0.5492416389846556,0.39553818073432706,0.48717948717948717,0.13900547638487432,5.769230769230768
RF,0.9247386759581881,0.3333333333333333,0.3202993000241371,0.0,0.12293090881042049,5.8199269974313905
